# burn-truth.csv — the FROZEN per-spell OptionBurn ground truth, plan 10-09
# 
# measured: 2026-07-27   git commit: 4645257
# command: econometrics burn-truth --endpoint https://api.goldsky.com/api/public/project_cl9gc21q105380hxuh8ks53k3/subgraphs/panoptic-subgraph-base/dev/gn --pool 0x96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a
# subgraph endpoint: https://api.goldsky.com/api/public/project_cl9gc21q105380hxuh8ks53k3/subgraphs/panoptic-subgraph-base/dev/gn (keyless public Goldsky; no API key used)
# underlying pool (V4 poolId): 0x96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a
# population: notes/structural-econometrcics/data/panel.csv (55 tokenIds)
# 
# WHY THIS FILE EXISTS. The 10-08 anti-fabrication review recorded one
# limitation it could not close: truth_wei — the protocol's own
# OptionBurn.premium0, the quantity the reconciliation gate is scored
# AGAINST — was fetched live at reconcile time and materialised only in
# reconcile-errors.csv, which is the gate's OUTPUT. A ground truth that
# exists only inside the artifact it validates cannot be independently
# re-checked. This file is that ground truth as a committed INPUT.
# 
# UNIT: RawWei — determined by Panel.Reconcile.
#   classifyGroundTruthUnit over these same burns, the SAME classifier the
#   gate used; never assumed here.
#   truthWei = round(premium0)                -- premium0 is ALREADY raw 18-decimal units
# max |premium0| = 17640586041163 wei, BELOW 2^53 = 9007199254740992,
#   so the subgraph BigInt -> Double -> Integer round-trip is EXACT
#   on every row of this population.
# 
# CROSS-CHECK: summed per tokenId, this file reproduces reconcile-errors.csv
#   truth_wei with TRUTH_MISMATCHES = 0 over 55 tokenIds.
# 
# SIGN CONVENTION: as the protocol emits it — POSITIVE for short positions
#   (the seller receives), NEGATIVE for long ones (the buyer pays). No
#   seller-side flip is applied here; premium_usd in panel.csv applies one.
# premium0_wei / premium1_wei are raw 18-decimal (ETH) and 6-decimal (USDC)
#   token units respectively. premium0 is the gate's ground truth: 61 burns
#   carry a non-zero premium0 against 38 non-zero premium1.
token_id,account,mint_block,burn_block,mint_timestamp,burn_timestamp,premium0_wei,premium1_wei,position_size,is_long,leg_count
13928909781226167477140168674314,0xb28c04c6e4f234225e62ac72111075ff77746558,48142625,48146330,1783074597,1783082007,49120937,0,406195880598,0,1
13928909790689347186953168653322,0xb28c04c6e4f234225e62ac72111075ff77746558,48138958,48140835,1783067263,1783071017,3602433914,5,6106,0,1
13928911292383441995426637057034,0xb28c04c6e4f234225e62ac72111075ff77746558,48155900,48157721,1783101147,1783104789,23305055,0,239817782445,0,1
13928913559119353772856339631114,0xb28c04c6e4f234225e62ac72111075ff77746558,48148390,48152243,1783086127,1783093833,625437638,0,328976782603,0,1
13928913568582533482669339610122,0xb28c04c6e4f234225e62ac72111075ff77746558,48140835,48142625,1783071017,1783074597,889355057,1,2610,0,1
13928916590897082519242276375562,0xb28c04c6e4f234225e62ac72111075ff77746558,48152243,48154116,1783093833,1783097579,819864,0,29,0,1
13928916590897082519242276375562,0xb28c04c6e4f234225e62ac72111075ff77746558,48154116,48155900,1783097579,1783101147,1488635,0,8,0,1
13928917346475719778385510566922,0xb28c04c6e4f234225e62ac72111075ff77746558,48146330,48148390,1783082007,1783086127,70487986,0,333,0,1
13928918102054357037528744758282,0xb28c04c6e4f234225e62ac72111075ff77746558,48142625,48146330,1783074597,1783082007,809988325,0,1115,0,1
13928918857632994296671978949642,0xb28c04c6e4f234225e62ac72111075ff77746558,48155900,48157721,1783101147,1783104789,56229,0,2,0,1
13928921124368906074101681523722,0xb28c04c6e4f234225e62ac72111075ff77746558,47558805,47595298,1781906957,1781979943,21141312857,35,105486,0,1
13928921124368906074101681523722,0xb28c04c6e4f234225e62ac72111075ff77746558,47595298,47613590,1781979943,1782016527,3612956293,5,105443,0,1
13928921879947543333244915715082,0xb28c04c6e4f234225e62ac72111075ff77746558,48148390,48152243,1783086127,1783093833,23343268,0,99,0,1
13928930946891190442963726011402,0xb28c04c6e4f234225e62ac72111075ff77746558,47342678,47507537,1781474703,1781804421,31238869506,54,3600,0,1
13928953614250308217260751752202,0xb28c04c6e4f234225e62ac72111075ff77746558,47342678,47507537,1781474703,1781804421,19165725807,33,7200,0,1
13928953618972674700130396965898,0xb28c04c6e4f234225e62ac72111075ff77746558,47342678,47507537,1781474703,1781804421,-10146560721,-17,3600,1,1
171622313847804664062707064823821437228393466890,0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04,45612327,46002526,1778014001,1778794399,147824902150,332,100000,0,2
305488578812443057446254507756554,0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04,46866190,47517841,1780521727,1781825029,17640586041163,29773,1000000000000000,0,1
305488671002481536027468369529866,0x557a1a07653a637d8e0c01074d9c33618c0956af,43876030,43916751,1774541407,1774622849,993545060839,1835,1000000000000000,0,1
305488695927131832613455807417354,0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04,44370239,45609851,1775529825,1778009049,130910962893,302,10000000000000,0,1
305488725394698685720041940880394,0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04,44362276,46002419,1775513899,1778794185,195874485096,452,10000000000000,0,1
305488797934970229080662068464650,0xb452af299c565d04b05e601eff2840e000c922f1,45605839,45990912,1778001025,1778771171,-4191932694290,-9514,1000000000000000,1,1
85987406349980496331175231772960871807994858506,0x557a1a07653a637d8e0c01074d9c33618c0956af,43916722,43920127,1774622791,1774629601,119211783050,247,1000000000000000,0,2
85987420383974868125161971211426355718277073930,0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04,45871668,46002489,1778532683,1778794325,5547732786,11,10000,0,2
85987421660028551781636802008240109781758020618,0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04,43888479,46005038,1774566305,1778799423,515498413119,1133,10000000000000,0,2
85987421664016235768991544904585048092953840650,0xb452af299c565d04b05e601eff2840e000c922f1,43933646,45064084,1774656639,1776917515,-38765159456,-84,1000000000000,1,2
85987421666674691760561367205659696474224102410,0xb452af299c565d04b05e601eff2840e000c922f1,43889092,46005003,1774567531,1778799353,-330944046651,-728,6000000000000,1,2
85987442074312111046374787509641907306580446218,0x557a1a07653a637d8e0c01074d9c33618c0956af,43781657,43914219,1774352661,1774617785,5420275151957,10771,1000000000000000,0,2
